Kurs/Błąd pozyskania,Data i godzina,Czas wykonania
Błąd pozyskania danych,"08/24/2020, 00:29:58",0.099
Błąd pozyskania danych,"08/24/2020, 00:29:58",0.099
Błąd pozyskania danych,"08/24/2020, 00:29:58",0.099
Błąd pozyskania danych,"08/24/2020, 00:29:58",0.099
Błąd pozyskania danych,"08/24/2020, 00:29:59",0.099
4.3979,"08/24/2020, 00:29:59",753133
4.3979,"08/24/2020, 00:29:59",925554
4.3979,"08/24/2020, 00:29:59",916780
4.3979,"08/24/2020, 00:29:59",927750
4.3979,"08/24/2020, 00:29:59",898756
4.3979,"08/24/2020, 00:29:59",926154
4.3979,"08/24/2020, 00:29:59",919966
4.3979,"08/24/2020, 00:29:59",919158
4.3979,"08/24/2020, 00:30:00",919314
4.3979,"08/24/2020, 00:30:00",923704
